Customer,URL,State,Country - Canada,Partners,Industry,ERP,CLEAN_Update,Update Ring,Products,Platform,Canada,DataType,Data Provider,Options (Add-ons),Data Enhancement Services,CLEAN_Data Portal Transactions,Notes
North Orange County Community College District,nocccd.edu,CA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
North Shore Community College,northshore.edu,MA,,,Higher Education,Banner,"Windows 64-bit,Linux 64-bit",,CLEAN_Address - USPS,"Windows, Linux",,DPV,Data Provider: Melissa,,NCOA,,
Northeast Community College,northeast.edu,NE,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,AddressDoctor International,NCOA - Prepaid,,
Northeast Mississippi Community College,nemcc.edu,MS,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Northeast State Technical Community College,northeaststate.edu,TN,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA,,
Northeastern Illinois University,neiu.edu,IL,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Northeastern State University,nsuok.edu,OK,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Northern Essex Community College,necc.mass.edu,MA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,AddressDoctor International,,,
Northwest Florida State College,nwfsc.edu,FL,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Northwestern Michigan College,nmc.edu,MI,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Northwestern University,northwestern.edu,IL,,,Higher Education,"PeopleSoft, Advance",Linux 64-bit,Monthly,"CLEAN_Address - USPS,CLEAN_Address - CAN",Linux,Canada - Unix,DPV,Data Provider: Melissa,"AddressDoctor International,CLEAN_Entry","NCOA - Prepaid,MCOA - Prepaid",,
Northwood Technical College,witc.edu,WI,,,Higher Education,"PeopleSoft, Salesforce",Windows 64-bit,,"CLEAN_Address - USPS,Salesforce - US & CAN",Windows,,DPV,Data Provider: Melissa,"RBDI,Demographic,Salesforce US/CAN Transacations",NCOA - Prepaid,,"Wisconsin Indianhead Technical College name change effective Aug 2, 2021


Shared PeopleSoft Instance with Lakeshore Technical College, Mid-State Technical College, Wisconsin Indianhead Technical College....at Central Data Center at Lakeshore Technical College.  "
Norwich University,norwich.edu,VT,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Nova Southeastern University,NOVA.edu,FL,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
NY Metropolitan Transportation Authority,mtabsc.org,NY,,,"Transportation, Sanitary Service",PeopleSoft,Linux 64-bit,Monthly,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,CLEAN_Entry,NCOA - Prepaid,,
Oakland University,oakland.edu,MI,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Oakton Community College,oakton.edu,IL,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Ogeechee Technical College,ogeecheetech.edu,GA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Ohio Northern University,onu.edu,OH,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA,,
Oklahoma City University,okcu.edu,OK,,,Higher Education,Banner,,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Oklahoma State University,okstate.edu,OK,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,AddressDoctor International,,,
OneAZ Credit Union,neazcu.com,AZ,,ASCEN,Credit Union,Credit Union,Windows 64-bit,Monthly,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Oral Roberts University,oru.edu,OK,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,"CLEAN_Entry,AddressDoctor International",,,
Oregon State University,oregonstate.edu,OR,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Orlando Health,orlandohealth.com,FL,,,Healthcare,PeopleSoft,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Owens Community College,owens.edu,OH,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Pace University,pace.edu,NY,,,Higher Education,Banner,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,AddressDoctor International,NCOA - Prepaid,,
Pacific Lutheran University,plu.edu,WA,,,Higher Education,Banner,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Pasadena City College,pasadena.edu,CA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Pearl River Community College,prcc.edu,MS,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,"NCOA - Prepaid,MCOA - Prepaid,Phone - Prepaid,Email - Prepaid",,
Pellissippi State Community College,pstcc.edu,TN,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Pennsylvania State System of Higher Education (PASSHE),passhe.edu,PA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
PennWest (Pennsylvania Western University of Pennsylvania),calu.edu,PA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,"July 2022:  Merger into PennWest:  3 Institutions Covered: California University of Pennsylvania
Clarion University
Edinboro University"
Philadelphia College of Osteopathic Medicine,pcom.edu,PA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Piedmont Technical College,ptc.edu,SC,,,Higher Education,Banner,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Pima Community College,pima.edu,AZ,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Pluris,pluristem.com,MA,,MDATA,Services,,Linux 64-bit,"Monthly,Quarterly",CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,"GeoData,RBDI",,,
Plymouth State University,plymouth.edu,NH,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Prairie View A&M University,pvamu.edu,TX,,,Higher Education,Banner,Windows 64-bit,Monthly,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Presbyterian College,presby.edu,SC,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Prince George's Community College,pgcc.edu,MD,,,Higher Education,Colleague,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,"NCOA - Prepaid,Phone - Prepaid,Email - Prepaid",,
Princeton University,princeton.edu,NJ,,,Higher Education,PeopleSoft,Linux 64-bit,Monthly,"CLEAN_Address - USPS,CLEAN_Address - CAN",Linux,Canada - Unix,DPV,Data Provider: Melissa,AddressDoctor International,,,
PRO Unlimited,prounlimited.com,CA,,,Software,PeopleSoft,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Providence College,providencecollegecalicut.com,RI,,,Higher Education,,,,DES,,,,,,NCOA,,
Public Employees Retirement System of Mississippi (PERS of MS),pers.ms.gov,MS,,,Public Sector,PeopleSoft,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Purchase College - SUNY,purchase.edu,NY,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Purdue University Northwest,pnw.edu,IN,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
"Quadient, Inc.",quadient.com,CT,,,Software,,,Monthly,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Randolph-Brooks Federal Credit Union,rbfcu.org,WA,,ASCEN,Credit Union,Credit Union,Windows 64-bit,Monthly,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Raritan Valley Community College,raritanval.edu,NJ,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
"Rawlings Sporting Goods Company, Inc.",rawlings.com,MO,,,Retail Trade,JD Edwards,Windows 64-bit,Monthly,"CLEAN_Address - USPS,CLEAN_Address - CAN",Windows,Canada - Win,DPV,Data Provider: Melissa,AddressDoctor International,,,
Rhode Island School of Design,RISD.edu,RI,,,Higher Education,Colleague,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,AddressDoctor International,"NCOA - Prepaid,MCOA - Prepaid",,
Rhodes State College,rhodesstate.edu,OH,,,Higher Education,Banner,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Rider University,rider.edu,NJ,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,AddressDoctor International,NCOA - Prepaid,,
Ritchie Bros Auctioneers,rbauction.com,BC,Canada,MDATA,Services,,Linux 64-bit,"Quarterly,Monthly","CLEAN_Address - USPS,CLEAN_Address - CAN",Linux,Canada - Unix,NO DPV,Data Provider: Melissa,GeoCoder,,,
Roane State Community College,roanestate.edu,TN,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Rochester Institute of Technology,rit.edu,NY,,,Higher Education,"PeopleSoft, Advance",Windows 64-bit,,CLEAN_Address - USPS,"Windows, Linux",,DPV,Data Provider: Melissa,CLEAN_Entry,,,
Rock Valley College,rockvalleycollege.edu,IL,,,Higher Education,Colleague,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,CLEAN_Entry,,,
Roger Williams University,rwu.edu,RI,,,Higher Education,Colleague,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,AddressDoctor International,,,
Rollins College,rollins.edu,FL,,,Higher Education,Banner,Windows 64-bit,Quarterly,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,Demographic,,,
Roosevelt University,roosevelt.edu,IL,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,AddressDoctor International,,,
Rose-Hulman Institute of Technology,rose-hulman.edu,IN,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,AddressDoctor International,,,Reference
Rowan College of South Jersey,rcgc.edu,NJ,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Saint Joseph's University,sju.edu,PA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA,,
Saint Louis University,slu.edu,MO,,,Higher Education,Banner,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
SAIT Polytechnic,sait.ca,AB,Canada,,Higher Education,Banner,Linux 64-bit,Monthly,CLEAN_Address - CAN,Linux,Canada - Unix,NO DPV,Data Provider: Melissa,,,,
Salt Lake Community College,slcc.edu,UT,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Salt Lake Community College - Institutional Research ,i.slcc.edu/ir/index.aspx,UT,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Sam Houston State University,shsu.edu,TX,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Samford University,samford.edu,AL,,,Higher Education,Banner,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,NCOA,,
San Juan College,sanjuancollege.edu,NM,,,Higher Education,"Colleague, MicroSoft SQL","Windows 64-bit,Linux 64-bit",,CLEAN_Address - USPS,"Linux, Windows",,DPV,Data Provider: Melissa,,"NCOA - Prepaid,Phone - Prepaid,Email - Prepaid",,
Santa Barbara City College,sbcc.edu,CA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,RBDI,,,
Santa Fe Community College,sfcc.edu,NM,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Santa Monica College,smc.edu,CA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Saskatchewan Polytechnic (SIAST),saskpolytech.ca,SK,Canada,,Higher Education,Banner,Windows 64-bit,Monthly,"CLEAN_Address - USPS,CLEAN_Address - CAN",Windows,Canada - Win,NO DPV,Data Provider: Melissa,,,,Reference
Sauk Valley Community College,svcc.edu,IL,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Savannah College of Art and Design,scad.edu,GA,,,Higher Education,Banner,,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Seattle Credit Union,smcu.com,WA,,ASCEN,Credit Union,Credit Union,Windows 64-bit,Monthly,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,GeoCoder,,,
Seattle Pacific University,spu.edu,WA,,,Higher Education,Banner,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Select Medical Corporation,selectmedical.com,PA,,,Healthcare,E-Business Suite,,,CLEAN_Address - USPS,AIX,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
"Service Partners, LLC / TopBuild",service-partners.com / topbuild.com ,FL,,,Manufacturing,"JD Edwards, E-Business Suite","Windows 64-bit,Linux 64-bit",Monthly,"CLEAN_Address - USPS,CLEAN_Address - CAN","Windows, Linux",Canada - Unix & Win,DPV,Data Provider: Melissa,AddressDoctor International,,,
Seton Hall University,shu.edu,NJ,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Seward County Community College,sccc.edu,KS,,,Higher Education,Banner,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Shamrock Foods,shamrockfoods.com,AZ,,MDATA,Manufacturing,,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Sierra Joint Community College District,sierracollege.edu,CA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Skidmore College,skidmore.edu,NY,,,Higher Education,"Banner, Advance",Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Skyward Specialty Insurance,skywardinsurance.com,TX,,MDATA,Insurance,,,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,Formerly named Imperium Insurance Company & Houston International Insurance Group
Slippery Rock University,sru.edu,PA,,,Higher Education,Banner,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,AddressDoctor International,,,
Smart Financial Credit Union,smartcu.org,WA,,ASCEN,Credit Union,Credit Union,Windows 64-bit,Monthly,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Snow College,snow.edu,UT,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,AddressDoctor International,,,
Soka University of America,soka.edu,CA,,,Higher Education,PeopleSoft,,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,"NCOA - Prepaid,Deceased - Prepaid",,
Solano Community College,solano.edu,CA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
South Dakota Board of Regents,sdbor.edu,SD,,,Higher Education,"Colleague, Banner",Linux 64-bit,,CLEAN_Address - USPS,"AIX, Linux",,DPV,Data Provider: Melissa,,,,
South Texas College,southtexascollege.edu,TX,,,Higher Education,Banner,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
South Texas College of Law - Houston,stcl.edu,TX,,,Higher Education,Banner,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,Mailers+4,,,
Southeastern Louisiana University,southeastern.edu,LA,,,Higher Education,PeopleSoft,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Southern Illinois University Edwardsville,siue.edu,IL,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Solaris,,DPV,Data Provider: Melissa,AddressDoctor International,,,
Southern Illinois University System,siusystem.edu,IL,,,Higher Education,"Banner, E-Business Suite, Advance",Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,AddressDoctor International,,,
Southern Methodist University,smu.edu,TX,,,Higher Education,PeopleSoft,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Southern University System,sus.edu,LA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,"NCOA - Prepaid,MCOA - Prepaid,Email - Prepaid,Phone - Prepaid",,"Southern University and A&M College
Southern University at New Orleans
Southern University at Shreveport"
Southern Utah University,suu.edu,UT,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA,,
Southwest Tennessee Community College,southwest.tn.edu,TN,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Spelman College,spelman.edu,GA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
St John's University,stjohns.edu,NY,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
St Johns River State College,sjrstate.edu,FL,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
St. Catherine University,stkate.edu,MN,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
St. Edward’s University,stedwards.edu,TX,,,Higher Education,Banner,,,DES,,,,,,"NCOA - Prepaid,CLEAN_File Append,CLEAN_List - Demographic Append,Reverse Email Lookup",,
St. John Fisher College,sjfc.edu,NY,,,Higher Education,Banner,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
St. Louis Community College,stlcc.edu,MO,,,Higher Education,Banner,Linux 64-bit,Monthly,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA,,
St. Petersburg College,spcollege.edu,FL,,,Higher Education,PeopleSoft,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Stark County,starklibrary.org,OH,,,Government,,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
State College of Florida,scf.edu,FL,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
State Fair Community College,sfccmo.edu,MO,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
State of Connecticut Judicial Branch,jud.ct.gov,CT,,,Government,MicroSoft SQL,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
State of Kansas,kansas.gov,KS,,,Government,PeopleSoft,"Linux 64-bit,Windows 64-bit",,CLEAN_Address - USPS,"Linux, Windows",,DPV,Data Provider: Melissa,AddressDoctor International,,,
State of Wisconsin,wisconsin.gov,WI,,,Government,PeopleSoft,"Linux 64-bit,Windows 64-bit",Quarterly,CLEAN_Address - USPS,"Linux, Windows",,DPV,Data Provider: Melissa,GeoCoder,,,
Stephen F. Austin State University,sfasu.edu,TX,,,Higher Education,Banner,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,Reference
Stockton University,stockton.edu,NJ,,,Higher Education,x,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Stonehill College,stonehill.edu,MA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,Reference
Stony Brook University,stonybrook.edu,NY,,,Higher Education,PeopleSoft,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,AddressDoctor International,,,
Suffolk University,suffolk.edu,MA,,,Higher Education,Colleague,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,AddressDoctor International,"MCOA - Prepaid,Email - Prepaid",,
Sul Ross State University,sulross.edu,TX,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Sunshine Coast Credit Union,sunshineccu.com,BC,Canada,ASCEN,Credit Union,Credit Union,Windows 64-bit,Monthly,CLEAN_Address - CAN,Windows,Canada - Win,NO DPV,Data Provider: Melissa,,,,
SUNY Adirondack Community College,sunyacc.edu,NY,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
SUNY Broome Community College,sunybroome.edu,NY,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA,,
SUNY Corning Community College,corning-cc.edu,NY,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
SUNY Downstate Medical Center,downstate.edu,NY,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
SUNY Empire State College,esc.edu,NY,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,AddressDoctor International,NCOA - Prepaid,,
SUNY Fredonia,fredonia.edu,NY,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
SUNY New Paltz,newpaltz.edu,NY,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
SUNY Rockland Community College,sunyrockland.edu,NY,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,"NCOA - Prepaid,Phone - Prepaid,Email - Prepaid",,
Swarthmore College,swarthmore.edu,PA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,AddressDoctor International,,,
Tarleton State University,tarleton.edu,TX,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
"Teachers College, Columbia University",tc.columbia.edu,NY,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,AddressDoctor International,,,
Temple University,temple.edu,PA,,,Higher Education,Banner,Linux 64-bit,Monthly,"CLEAN_Address - USPS,CLEAN_Address - CAN",Linux,Canada - Unix,DPV,Data Provider: Melissa,,NCOA,,
Tennessee Board of Regents,tbr.edu,TN,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Tennessee Colleges of Applied Technology,tbr.edu,TN,,,Higher Education,Banner,,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,"26 Tennessee Colleges of Applied Technology -          TBR System Office will support all TCATs under one instance.
Technical College of Applied Technology - Athens
Technical College of Applied Technology - Chattanooga
Technical College of Applied Technology - Covington
Technical College of Applied Technology - Crossville
Technical College of Applied Technology - Crump
Technical College of Applied Technology - Dickson
Technical College of Applied Technology - Elizabethton
Technical College of Applied Technology - Harriman
Technical College of Applied Technology - Hartsville
Technical College of Applied Technology - Hohenwald
Technical College of Applied Technology - Jacksboro
Technical College of Applied Technology - Jackson
Technical College of Applied Technology - Knoxville
Technical College of Applied Technology - Livingston
Technical College of Applied Technology - McKenzie
Technical College of Applied Technology - McMinnville
Technical College of Applied Technology - Memphis
Technical College of Applied Technology - Morristown
Technical College of Applied Technology - Murfreesboro
Technical College of Applied Technology - Nashville
Technical College of Applied Technology - Newbern
Technical College of Applied Technology - Oneida/Huntsville
Technical College of Applied Technology - Paris
Technical College of Applied Technology - Pulaski
Technical College of Applied Technology - Ripley
Technical College of Applied Technology - Shelbyville
Technical College of Applied Technology - Whiteville
"
Tennessee Dept of Finance & Administration,tn.gov,TN,,,Public Administration,PeopleSoft,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Tennessee State University,tnstate.edu,TN,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Tennessee Technological University,tntech.edu,TN,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,Reference
Terra State Community College,terra.edu,OH,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Texas A&M University - Central Texas,tamu.edu,TX,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Texas A&M University - Commerce,tamu.edu,TX,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Texas A&M University - Corpus Christi,tamu.edu,TX,,,Higher Education,Banner,Linux 64-bit,Monthly,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,AddressDoctor International,NCOA,,
Texas A&M University - Kingsville,tamu.edu,TX,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Texas A&M University - San Antonio,tamusa.edu,TX,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Texas Childrens Hospital,texaschildrens.org,TX,,,Healthcare,,,,Orbit,,,,,,,,
Texas Christian University,tcu.edu,TX,,,Higher Education,PeopleSoft,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
